Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,log_return,ret,log_close
2017-02-15,1006.21,1008.84,1001.58,1007.48,89759400,16264100000,1012.3259875,16165412.5,16390111733.8,22919392.205,102655.721987,0.940088316547,0,2120.76258993,19.275,2917083.56661,422170566883,1822485.25,134.04888989,0.936457961022,6.43708798742,495896,294786,196931408,291325,199797,1750347.68365,199854.02098,202631991.872,0.002912483483007655,0.0029167288835796334,6.915207442507176
2017-02-16,1007.65,1033.37,1007.65,1027.44,122277000,16289100000,1035.208125,16167300,16762256640,41105343.501,102803.787327,0.974114078947,1,1877.16447368,11.6333333333,3189904.33184,422170566883,2071526.4,170.92843209,0.990005981607,7.52513273586,489189,285329,197216737,281408,191928,2996789.97501,209183.426218,216881376.303,0.019618107997623646,0.019811807678564275,6.9348255505048
2017-02-17,1026.12,1053.17,1025.64,1046.21,136474000,16589600000,1055.53685,16169187.5,17119935725,50584844.509,102950.117682,0.969075198675,0,2117.66225166,12.8666666667,3168918.11913,422170566883,2094835.8,165.84442388,0.791229783415,6.79895385079,550072,319767,197536504,315601,209538,2501945.95774,259513.034888,274772401.34,0.018103838787864923,0.018268706688469027,6.952929389292665
2017-02-18,1049.21,1061.1,1046.96,1054.42,99073500,16964800000,1056.6371375,16171075,17138105285,29732832.5167,103096.374718,0.962217342105,1,1895.71710526,10.7666666667,3330515.74407,432944392643,2102643.2,153.36709614,1.22463916273,7.55219851011,510385,288149,197824653,284460,199746,1252864.20271,167671.193167,177697930.518,0.007816742409221256,0.007847372898366789,6.960746131701886
2017-02-19,1054.76,1056.81,1043.46,1047.87,77423300,17056600000,1052.77928571,16172750,17086510375,18054662.2988,103221.112954,0.930882358209,0,1878.51492537,11.5166666667,2936112.56385,440779902286,1835140.5,129.44377921,1.11179604978,7.57344382366,458998,251721,198076374,248233,169258,1419255.29317,162299.891205,171469835.058,-0.006231320316742561,-0.0062119459039101654,6.954514811385144
2017-02-20,1048.69,1080.49,1041.69,1079.98,109478000,16960200000,1084.7550125,16174600,17714421920,32526100.4137,103361.909703,0.951329385135,0,1910.32432432,17.125,3242870.59291,440779902286,2121402.4,159.91401438,1.13082994074,7.78577936585,503952,282728,198359102,278516,182905,1561277.91468,177737.955281,194658608.624,0.03018299004313363,0.030643114126753135,6.984697801428277
2017-02-21,1079.28,1117.25,1076.93,1115.3,186869000,17456900000,1123.78842857,16176325,18279247250,67820657.9251,103492.96381,0.949667442029,0,2022.39130435,12.2833333333,3023757.71501,440779902286,2066770,165.81707207,0.892282565757,7.6556784243,487720,279090,198638192,275202,189194,1754148.40967,211907.880377,239455904.826,0.0321809045722139,0.032704309339061544,7.016878706000491
2017-02-22,1114.8,1125.39,1100.55,1117.44,136100000,18033400000,1123.2231875,16178050,18237515765,59657200.0933,103628.810159,0.977311863309,1,2043.3381295,16.1333333333,3045669.0028,440779902286,2084941.35,183.25580355,0.968827963625,7.62353891693,489247,284024,198922216,280309,189154,2560354.04829,198255.611488,223493550.83,0.0019169277706367893,0.001918766251232773,7.018795633771128
2017-02-23,1117.27,1176.62,1116.96,1166.72,189454000,18075200000,1172.01715,16179925,19140851275,70101141.97,103772.917016,0.96071238,0,2172.75333333,11.9833333333,3286693.16849,440779902286,2381379,211.65472424,0.749112552971,7.57414567316,551454,325913,199248129,322248,220819,3342958.48697,278550.227995,329524919.718,0.04315603827911563,0.04410080183276066,7.0619516720502435
2017-02-24,1172.71,1200.39,1131.96,1173.68,330759000,18974400000,1174.86625,16181962.5,19102806731.2,137557162.437,103934.214596,0.971672168675,3,2112.95783133,20.875,3637273.77313,440779902286,2628973.5,230.61490244,0.721000656355,7.75985925152,590852,350751,199598880,346494,240873,1957414.54834,319779.861796,377500126.85,0.005947718781144751,0.005965441579813158,7.067899390831388
