Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2018-02-10,8720.08,9122.55,8295.47,8621.9,7780960000,146981000000,8319.87656618,16857300,140250655239,918540174.469,156085.952197,1.03479242657,0,1271.20979021,9.45,20434818.8745,2874674234420,15154655.1653,88.79565618,1.61455875176,85.8746321773,421547,181783,298758078,177603,133091,1537986.39994,116211.048631,966861580.237
2018-02-09,8271.84,8736.98,7884.71,8736.98,6784820000,139412000000,8535.51666667,16855512.5,143870507869,1093134650.42,155937.97688,1.07619254815,0,1317.48148148,12.2,19291612.2242,2874674234420,14685356.425,88.36425123,0.890278762802,85.2238778484,462086,177860,298576295,173698,131499,1144162.67235,199472.830919,1702603672.86
2018-02-08,7637.86,8558.77,7637.86,8265.59,9346750000,128714000000,8240.53666667,16853825,138884562886,1336661910.51,155792.690886,1.04830522901,0,1322.81679389,13.675,18720008.899,2874674234420,13782297.575,87.98500449,0.805963099397,82.0532315801,398607,173289,298398435,166517,126556,1171509.55404,214089.826914,1764215068.64
2018-02-07,7755.49,8509.11,7236.79,7621.3,9169280000,130683000000,8099.95833333,16852187.5,136502016576,1670287563.74,155655.362901,1.07172239007,0,1515.73758865,8.86666666667,20149017.2119,2874674234420,14762174.0625,123.52109098,0.905837981535,71.4802720054,489402,213719,298225146,205988,144287,1160111.91247,208207.331711,1686470711.55
2018-02-06,7051.75,7850.7,6048.26,7754,13999800000,118810000000,7685.63333333,16850425,129506188061,3094258118.19,155504.250044,1.06752445882,0,1436,7.43333333333,24293141.3193,2607870187290,17000620.9333,164.26998571,0.800015118884,72.073118594,589896,244120,298011427,238351,164738,1914332.61631,286153.340315,2199269650.77
2018-02-05,8270.54,8364.84,6756.68,6955.27,9285290000,139325000000,6838.81666667,16848300,115222434845,1793319477.25,155322.770886,1.10273347027,0,1169.52972973,6.13333333333,23938939.7752,2603077300220,16457612.3083,173.7675019,0.967008003447,78.5861151388,486553,216363,297767307,208757,144850,1848912.7145,257109.299306,1758323361.25
2018-02-04,9175.7,9334.87,8031.22,8277.01,7073550000,154553000000,8400.64833333,16845987.5,141517216815,1080682794.74,155118.765194,0.990487949438,0,975.769662921,9.275,23033142.054,2603077300220,19061071.0683,111.31669812,1.20899697338,112.999677444,396694,173687,297550944,165753,125143,972248.504667,193244.21397,1623376684.01
2018-02-03,8852.12,9430.75,8251.63,9174.91,7263790000,149085000000,9076.67833333,16843762.5,152885414136,952403804.978,154942.458339,0.996566860759,0,1233.48734177,10.475,20445148.5648,2603077300220,18561807.1917,146.92776937,1.2909142894,98.8247574754,436196,194891,297377257,184856,131568,910042.479216,164374.024425,1491970146.06
2018-02-02,9142.28,9142.28,7796.49,8830.75,12726900000,153953000000,8901.90166667,16841787.5,149923936216,2213436748.09,154785.000775,1.02247852381,0,1404.27380952,11.225,21739145.3094,2603077300220,20349747.21,274.36258243,0.717893514214,89.5919015497,551198,235918,297182366,229894,155128,1460796.3796,330740.219185,2944216908.4
2018-02-01,10237.3,10288.8,8812.28,9170.54,9959400000,172372000000,9083.25833333,16839687.5,152959231815,1509688358.17,154613.224383,1.053963175,0,1610.4,12.475,20703947.9137,2603077300220,19329173.7333,214.02754492,0.799509242973,78.0496466236,591550,257664,296946448,249466,179686,2190613.27516,276923.320697,2515366060.42
2018-01-31,10108.2,10381.6,9777.42,10221.1,8041160000,170183000000,10125.0133333,16837687.5,170481810440,933239777.886,154444.590275,1.04283131624,0,1745.94871795,15.675,15139761.9119,2603077300220,15840583.36,162.20623626,1.01628408371,80.5291483331,481100,204276,296688784,197264,141543,1785708.48639,159867.330631,1618658854.2
2018-01-30,11306.8,11307.2,10036.2,10106.3,8637860000,190339000000,10184.0616667,16836225,171461153634,1266284116.13,154322.579011,0.987508670659,0,1416.82035928,11.075,21609745.6349,2603077300220,22124873.9708,160.30090386,1.30114347057,96.7492488422,531440,236609,296484508,230310,158259,2359671.26612,172755.807081,1759355792.59
